Wines,Fruits,Fish,Sweets,Gold,NumDealsPurchases
22,3,0,5,15,2
247,161,210,85,47,2
38,0,3,1,1,1
896,10,13,10,34,6
931,56,91,98,14,4
758,12,33,89,89,1
216,9,20,9,125,7
2,3,11,2,10,1
244,15,4,15,50,6
539,6,8,6,97,13
1181,26,17,13,39,2
750,8,11,8,26,1
306,5,21,109,92,9
350,104,197,151,57,6
331,197,58,152,35,1
620,16,0,24,82,5
434,137,45,137,45,1
57,0,0,0,36,4
811,76,99,137,107,3
423,42,73,197,197,1
2,12,6,13,30,1
60,51,6,20,51,2
675,0,10,7,77,5
30,8,8,8,12,1
40,1,4,3,18,1
3,17,20,1,39,2
910,111,49,74,55,1
252,98,219,70,196,1
34,6,11,4,8,1
19,3,3,1,3,2
2,1,0,0,1,0
490,0,10,28,21,12
332,194,149,125,57,0
53,8,13,0,21,3
784,48,42,176,48,1
7,11,10,4,20,2
1171,43,19,14,47,4
215,7,3,0,13,6
674,62,0,26,8,4
57,0,0,0,36,4
5,36,0,10,45,2
104,20,24,15,5,6
9,0,2,0,4,1
431,82,80,20,102,1
1000,0,0,0,10,3
448,40,80,0,91,3
33,4,4,2,5,2
505,72,36,27,54,4
267,38,149,165,63,1
14,0,0,0,1,1
631,0,10,7,30,3
65,4,0,4,11,1
10,12,25,1,20,1
51,4,12,1,49,1
293,35,46,59,65,2
11,1,2,1,6,1
50,1,6,7,1,1
173,26,35,71,81,1
423,184,13,97,21,1
292,30,63,33,200,1
757,80,29,80,11,5
12,1,0,1,5,2
167,2,6,2,19,7
3,1,8,0,5,1
30,5,8,9,28,4
532,88,69,44,133,3
29,12,19,1,36,2
411,0,0,0,21,6
5,3,4,1,0,1
71,99,185,121,38,1
46,0,3,0,3,2
268,11,15,3,22,2
928,63,0,12,12,4
459,15,142,23,31,2
483,0,0,6,36,5
733,9,12,19,66,11
1006,22,59,68,45,1
34,1,0,0,5,3
1156,120,94,144,96,1
7,4,7,0,11,1
244,15,4,15,50,6
233,0,0,0,12,4
35,3,10,8,24,1
1252,0,46,35,0,1
34,4,3,10,20,1
255,43,37,14,24,1
8,1,0,0,1,1
368,32,13,43,10,1
255,47,52,32,15,1
33,8,2,10,3,2
163,23,27,65,76,1
15,0,4,2,20,2
45,12,25,22,13,4
48,58,16,66,43,1
158,6,8,2,2,7
754,160,63,32,48,1
108,1,13,1,4,2
199,66,97,174,41,1
2,7,2,15,27,1
202,5,11,5,14,3
85,0,0,0,7,1
322,3,4,3,42,5
18,2,0,2,6,5
141,8,3,11,47,3
739,107,140,80,35,1
18,0,3,3,5,1
378,0,19,4,73,4
1083,108,253,151,108,1
1016,12,16,12,63,1
23,1,0,0,2,2
12,1,2,2,3,2
35,0,0,0,0,1
548,31,0,112,28,4
342,32,34,32,40,5
365,3,4,3,11,5
397,19,12,0,9,1
456,19,75,118,38,1
5,6,11,7,13,1
836,185,24,25,77,1
100,2,23,7,10,4
10,0,3,1,7,2
238,115,169,69,76,3
6,0,2,1,2,1
158,11,15,11,17,2
86,12,33,15,6,1
856,0,12,9,199,7
98,1,0,1,5,1
4,16,0,17,20,3
398,96,220,96,32,1
313,8,6,4,126,9
109,18,24,26,18,4
216,2,0,0,9,2
595,71,120,112,41,6
123,133,71,44,88,1
16,0,3,2,10,3
11,12,3,5,12,1
410,112,0,82,71,1
159,2,6,2,24,3
105,0,0,1,0,2
5,1,0,0,1,1
269,15,15,19,38,2
629,0,0,0,35,6
443,5,21,16,82,2
217,77,111,23,93,1
24,1,2,0,4,2
9,1,4,5,7,1
8,0,2,3,7,1
1459,0,0,15,215,5
230,48,13,32,75,8
1,3,10,0,9,1
340,21,258,14,56,1
7,1,0,3,3,1
298,7,4,0,19,2
479,35,28,7,85,1
267,140,34,12,127,1
67,4,17,2,16,3
3,1,23,2,18,3
980,37,35,163,31,1
50,4,6,3,26,3
1,0,2,1,1,0
19,0,0,0,8,2
30,5,4,1,4,1
213,9,4,3,30,3
539,30,80,46,38,1
284,16,84,16,134,6
1003,34,134,51,34,1
239,13,45,4,52,9
51,23,33,0,42,4
527,24,32,24,65,2
19,5,10,3,19,3
40,2,8,0,6,1
21,8,15,3,9,1
593,30,29,22,7,1
21,5,10,1,7,3
1181,107,39,30,30,2
1004,59,115,59,27,2
202,2,3,2,10,2
446,107,33,196,53,1
1184,102,52,40,40,1
390,22,104,35,107,1
726,53,123,107,161,4
8,8,24,11,9,1
50,15,39,15,15,4
1,1,11,9,10,1
308,0,0,0,23,2
22,2,7,4,5,1
690,117,76,102,88,1
43,5,7,6,33,4
27,0,0,0,4,4
6,0,0,0,1,1
205,7,3,2,46,2
24,0,0,1,4,1
667,50,21,83,83,1
691,7,10,0,46,4
493,26,116,80,80,4
493,70,146,40,84,1
494,5,7,0,100,3
621,73,78,48,85,1
9,0,0,0,7,1
1,6,8,2,12,1
12,4,12,6,14,1
243,131,85,6,26,2
11,1,2,0,7,1
532,21,26,20,20,0
29,0,0,0,1,1
612,91,258,107,107,2
387,126,0,45,180,5
56,0,0,0,2,3
6,8,16,4,4,3
582,0,0,0,13,6
6,17,6,16,42,4
70,6,2,3,3,3
962,12,16,24,12,4
112,10,30,0,20,2
293,0,179,97,52,1
199,12,3,12,7,1
1060,61,80,20,101,1
940,44,0,88,58,1
44,2,2,3,7,1
342,51,207,35,26,1
2,10,12,9,20,2
75,12,43,39,187,6
520,20,39,81,40,2
5,3,6,2,6,2
87,5,7,12,29,5
462,61,10,53,107,4
2,2,3,1,2,1
979,44,29,25,22,1
704,129,120,74,111,1
861,31,62,95,79,0
172,3,16,0,18,5
5,7,15,4,7,3
194,2,0,0,0,5
9,7,3,2,20,1
505,72,36,27,54,4
533,10,198,174,195,2
48,0,0,0,6,2
6,1,23,4,19,1
18,2,0,0,25,1
482,147,104,107,107,1
204,97,21,118,26,1
1073,0,153,14,14,4
245,16,21,43,16,2
560,21,29,44,29,1
173,13,32,3,6,4
22,1,0,5,3,1
136,1,0,3,32,2
275,0,10,23,66,5
56,19,2,14,25,1
303,23,82,26,191,1
708,7,0,0,15,2
324,132,27,118,88,1
1,5,7,4,8,1
620,26,34,17,141,1
312,21,102,92,149,3
1493,86,112,43,43,2
918,21,13,10,21,3
98,0,49,10,106,5
3,4,15,8,11,1
380,0,6,0,34,4
15,0,7,3,7,3
3,9,7,8,7,4
24,2,0,8,24,3
80,1,4,6,16,2
31,0,2,1,5,2
138,120,16,126,60,3
166,75,119,107,59,3
12,3,8,0,17,2
178,3,71,66,58,2
707,20,65,60,50,1
5,1,17,14,11,2
465,71,93,35,62,3
16,1,0,0,1,1
358,108,141,97,32,1
1,9,2,14,10,1
123,1,2,0,72,2
40,3,10,7,11,3
102,9,2,9,24,1
347,44,17,0,26,1
376,53,168,53,53,1
21,0,0,0,0,1
194,2,0,0,0,5
64,4,7,5,17,4
206,0,3,2,12,2
71,0,0,0,13,1
71,22,138,89,29,1
0,4,11,10,15,2
93,1,0,4,25,3
920,138,36,46,30,1
653,17,34,26,17,2
199,33,8,3,15,5
153,4,0,9,31,4
376,0,11,8,69,5
46,0,12,1,30,1
600,21,223,150,128,13
425,115,23,35,79,1
18,6,12,8,17,3
52,0,0,0,1,2
734,22,151,25,100,1
34,6,11,4,8,1
135,1,10,1,67,5
11,0,0,2,20,1
163,48,0,45,52,1
29,3,3,2,9,2
734,26,11,44,17,2
340,21,258,14,56,1
453,38,188,38,183,2
1073,0,145,37,37,1
135,0,0,4,36,2
231,7,4,15,39,9
18,0,0,0,11,2
620,16,0,24,82,5
81,4,5,2,291,0
12,4,10,6,10,4
292,51,224,23,17,1
965,34,89,86,37,1
27,2,0,0,1,2
777,30,0,51,122,6
572,8,23,62,17,1
438,169,91,169,70,1
531,69,150,138,150,3
17,0,0,0,1,1
402,35,101,77,42,2
503,27,90,139,153,1
369,9,12,14,34,3
5,0,0,0,1,1
362,17,80,35,61,3
56,0,0,0,3,2
79,1,4,4,12,3
387,84,73,35,162,3
367,17,104,188,232,2
15,0,0,2,9,1
267,6,8,3,50,2
298,27,216,24,166,1
674,92,39,0,92,1
16,14,37,22,48,3
37,4,16,9,9,2
159,0,2,1,31,3
686,17,23,26,35,8
97,3,12,7,34,3
63,6,13,13,22,4
56,5,4,0,3,3
209,19,160,142,66,1
198,2,0,12,20,3
313,15,20,0,192,2
941,14,76,58,176,11
86,4,2,4,7,3
167,48,63,72,72,1
8,3,0,2,3,2
389,66,37,57,85,1
239,7,4,15,11,5
179,21,0,21,63,1
5,0,1,1,1,15
2,6,13,4,16,1
383,0,6,4,40,3
2,8,6,1,9,2
536,27,38,107,67,1
2,1,3,1,2,1
322,53,34,40,53,1
539,169,20,0,30,1
712,50,65,38,38,1
1121,0,0,12,12,4
68,1,3,5,13,1
36,4,6,2,18,1
707,44,95,58,29,1
174,77,6,24,97,2
666,35,69,8,26,1
0,0,6,2,6,1
162,50,55,30,27,1
407,70,103,88,53,1
823,25,124,29,95,1
488,23,15,0,59,11
28,0,4,2,8,3
3,2,3,0,2,1
284,0,8,3,20,4
938,142,159,81,183,1
13,2,2,2,8,2
412,172,150,105,57,2
31,1,0,0,8,2
502,19,0,6,26,6
18,10,3,5,0,1
1,8,4,8,16,1
100,71,108,94,219,3
407,114,181,165,203,1
664,9,50,19,57,2
1045,61,60,46,46,3
1218,107,23,143,33,1
15,0,0,1,12,2
128,0,0,1,4,2
581,49,43,8,108,1
6,3,6,1,0,1
185,8,56,56,12,2
22,1,0,0,14,1
584,100,65,83,35,1
355,30,90,138,30,4
175,10,54,6,27,2
864,134,150,38,172,1
957,153,99,95,153,1
25,6,20,0,5,2
641,7,0,0,28,8
273,86,177,14,43,1
122,21,25,10,15,2
1,4,29,0,36,1
1020,31,62,63,79,1
6,2,1,262,3,0
378,14,19,14,14,2
42,1,3,0,4,2
15,5,0,4,11,1
272,7,20,7,11,1
9,1,2,1,2,3
279,0,0,0,9,2
398,61,138,61,53,1
637,47,12,19,76,4
45,0,2,1,6,1
21,1,7,3,5,1
15,4,0,0,19,1
493,183,184,23,28,0
957,40,158,53,107,2
829,138,60,92,15,1
1017,50,65,50,133,3
953,0,0,0,174,6
159,0,0,0,137,7
32,0,23,4,18,1
23,0,0,2,7,2
18,42,15,20,18,1
15,0,0,0,2,1
23,4,10,5,23,1
200,193,46,185,185,2
1324,27,71,108,27,0
1193,33,129,66,33,1
505,137,104,22,22,3
2,4,0,4,5,1
1103,0,0,0,34,3
353,61,40,46,27,1
652,48,94,84,108,1
379,6,25,91,91,5
46,4,2,2,1,1
162,31,8,17,69,2
8,3,3,3,8,3
17,3,3,4,18,2
340,108,130,38,100,2
8,4,3,5,3,2
154,22,39,30,8,5
710,15,20,0,0,3
8,2,0,0,1,1
2,2,13,13,4,1
1050,14,0,14,112,1
19,1,3,2,4,1
22,0,6,2,6,1
274,83,151,141,224,1
68,6,3,6,41,2
344,45,104,11,114,2
145,193,205,26,145,2
217,38,111,85,15,1
18,7,10,2,3,3
69,8,12,7,12,2
144,0,0,0,6,1
256,34,90,29,49,2
483,72,94,12,108,1
1285,105,28,21,0,1
338,4,11,8,13,1
605,10,84,54,32,1
8,0,3,1,1,1
172,41,45,6,27,5
448,71,40,17,17,1
67,4,17,2,16,3
512,53,81,179,89,3
1462,16,0,0,160,1
20,0,7,3,1,3
50,4,10,10,43,3
102,1,2,0,24,1
499,149,173,49,49,1
381,35,56,86,93,2
631,43,128,76,21,2
526,80,123,94,53,1
913,26,17,26,13,1
673,0,37,47,26,2
23,0,0,0,12,1
199,33,8,3,15,5
261,23,4,23,50,2
111,16,7,9,18,3
16,4,2,4,321,0
63,151,153,19,53,2
58,0,2,0,10,4
29,1,0,3,13,1
3,2,0,1,9,1
28,34,11,14,44,3
40,3,10,7,11,3
879,143,106,143,143,0
62,1,6,5,22,1
280,7,20,0,27,8
9,0,3,1,3,1
182,4,0,2,42,6
83,2,64,26,117,1
38,15,3,8,29,3
228,19,4,11,51,2
1092,37,145,37,55,1
85,15,13,13,21,2
1276,24,94,29,48,0
1017,33,108,100,16,1
6,2,2,1,5,2
448,21,52,101,62,0
504,23,179,28,44,1
226,22,41,31,31,3
239,3,0,7,23,4
90,38,33,36,67,1
7,2,3,2,3,1
4,2,2,0,0,1
16,17,20,21,22,3
10,3,0,0,0,1
68,0,0,0,8,3
35,0,2,0,2,2
575,80,208,93,80,3
315,0,4,0,91,4
182,2,17,13,20,1
561,14,10,14,35,3
587,51,180,34,86,1
94,1,13,12,12,3
908,43,40,194,21,1
228,122,208,129,30,6
995,112,42,48,41,1
11,1,2,1,6,1
3,3,15,21,10,1
12,1,4,1,3,3
17,0,0,0,2,2
8,0,0,3,6,1
22,4,12,10,13,3
14,10,4,7,15,1
106,27,52,7,5,6
820,57,45,0,11,2
753,43,69,10,204,2
13,3,7,3,3,2
9,1,0,4,8,1
19,3,4,2,12,1
520,8,32,49,42,4
5,17,13,14,34,4
618,44,0,17,36,2
315,35,46,7,143,3
15,1,0,5,1,3
384,60,119,101,232,4
110,29,28,10,145,1
208,17,36,17,38,2
555,82,93,61,61,4
240,90,63,6,24,4
11,0,15,5,12,1
848,154,201,61,78,1
202,47,55,42,149,1
433,89,16,102,102,10
6,6,10,5,2,2
37,0,3,0,3,1
167,37,49,34,116,8
45,7,4,25,43,3
129,0,0,1,7,1
713,0,120,80,34,1
676,161,210,44,58,2
450,26,73,98,26,1
22,2,0,2,5,1
367,4,6,4,95,6
526,35,69,53,35,2
51,0,0,0,4,2
25,0,3,0,15,1
28,6,12,17,39,1
958,159,20,0,31,3
532,88,69,44,133,3
724,17,0,8,196,2
39,0,20,8,14,3
587,54,71,54,130,1
29,1,0,0,0,2
757,80,29,80,11,5
544,35,23,151,107,2
40,15,17,6,7,1
1245,33,21,33,16,2
19,1,16,14,28,2
16,3,2,1,11,1
376,4,12,9,24,3
184,178,103,39,33,1
15,0,0,2,9,1
124,83,85,59,35,2
627,120,121,80,93,1
180,60,13,54,54,2
14,0,0,0,8,1
3,3,34,7,31,1
8,26,38,9,49,2
293,6,13,6,92,4
758,12,33,89,89,1
656,38,62,47,37,3
196,25,67,17,49,1
835,73,114,73,43,1
16,11,2,0,12,2
9,1,2,1,4,1
229,7,10,3,11,7
0,1,15,1,5,1
121,24,24,15,42,1
471,102,212,61,245,1
520,8,32,49,42,4
26,1,2,0,1,1
240,132,250,192,108,1
178,4,8,4,44,5
1486,55,49,0,185,2
1115,12,33,12,76,1
29,0,2,0,6,1
529,0,63,28,0,3
13,3,7,4,16,2
934,24,16,24,36,2
2,7,16,12,27,1
4,12,3,16,17,2
62,1,6,5,22,1
158,35,0,0,125,2
173,2,3,2,47,3
830,59,51,79,19,1
189,10,56,43,64,6
728,17,11,8,124,1
7,2,2,0,2,2
35,4,7,6,64,1
188,3,20,3,43,5
742,28,25,9,57,2
0,7,26,2,17,2
750,71,13,10,20,2
816,42,55,56,154,1
5,2,2,2,9,1
37,5,12,8,5,2
4,0,0,0,5,1
99,2,4,0,16,3
176,72,136,21,229,4
54,0,0,0,2,2
997,15,99,30,76,1
356,0,19,9,117,2
1311,0,46,89,17,1
890,63,0,25,12,4
4,0,0,0,2,1
17,0,7,3,2,1
960,0,50,38,0,1
2,1,1,1,1,0
1,3,20,30,47,3
240,67,199,0,163,3
301,11,4,7,11,1
154,0,6,11,37,5
2,3,4,1,9,1
104,12,4,12,5,1
70,3,4,2,64,4
2,0,3,6,2,1
23,2,3,1,4,2
43,4,8,0,27,5
4,24,16,1,25,1
654,7,0,15,30,7
912,72,47,36,97,1
25,0,0,1,4,1
24,4,0,2,9,4
141,11,15,14,5,4
71,0,3,1,0,2
35,1,0,1,1,2
496,32,229,48,128,2
9,9,13,10,16,4
154,0,6,11,37,5
9,1,4,5,7,1
26,3,4,7,3,2
77,8,10,10,25,5
11,2,4,2,2,1
576,7,19,7,7,2
89,15,34,42,5,1
1013,30,60,46,153,3
224,12,4,12,12,1
200,19,50,15,19,6
570,73,133,102,73,1
1,3,8,1,13,2
62,1,4,0,7,2
531,69,150,138,150,3
162,28,0,28,56,0
675,144,94,192,241,1
23,4,0,2,15,1
492,5,13,5,21,1
918,10,13,0,129,1
224,155,192,93,54,2
572,19,50,38,248,3
626,0,0,7,28,2
1074,37,193,92,129,1
741,68,224,68,103,1
322,3,4,3,42,5
254,10,30,10,227,2
116,6,6,6,41,2
22,2,0,2,12,3
516,0,0,0,5,4
14,36,3,26,35,1
2,8,12,14,23,3
28,0,3,0,0,1
530,142,62,9,56,4
519,50,130,0,41,1
611,76,59,45,26,1
240,67,199,0,163,3
4,9,11,2,8,2
671,47,145,111,15,1
23,1,0,4,24,1
9,1,3,2,0,1
556,54,202,133,63,1
833,80,52,26,174,2
12,0,4,2,4,4
56,7,10,2,18,1
293,8,11,4,106,2
297,0,13,0,152,7
39,1,2,0,3,4
5,11,21,8,45,2
266,21,65,8,44,4
322,3,4,3,42,5
366,124,71,78,54,2
32,0,23,4,18,1
158,0,0,0,18,6
269,129,182,43,29,4
41,0,0,0,3,4
3,3,15,4,15,1
33,0,0,0,15,2
302,29,32,0,27,6
519,71,93,27,53,1
23,2,2,1,0,2
594,51,72,55,32,1
12,4,1,3,5,0
4,2,0,0,5,1
18,3,3,3,6,2
332,194,149,125,57,0
5,1,0,0,1,1
171,3,26,24,62,4
270,31,11,48,22,3
712,26,69,13,80,1
2,8,3,8,21,4
21,12,0,3,3,3
580,6,8,0,27,3
368,24,38,0,88,6
457,5,15,17,53,8
229,7,4,0,91,5
3,2,20,0,17,2
24,3,7,1,23,3
853,10,13,10,20,2
5,1,3,4,3,1
3,3,6,2,9,1
709,43,42,118,247,2
406,0,0,0,8,7
908,48,32,12,24,1
428,30,80,30,61,2
84,3,2,1,21,3